Cnty,Lake,Lat,Lon
McHenry County,Nead Lake,48.2044531,-100.8179216
Burke County,Neils Slough,48.6089178,-102.4271179
Ward County,Nelson and Carlson Lakes,47.9113943,-101.473219
Ward County,Nelson Lake,48.0038976,-101.2723838
McLean County,Nelson Lake,47.5899991,-100.8620867
Divide County,Nelson Lake,48.7064198,-102.996292
Emmons County,Neuwsma Lake,45.9730453,-100.0406704
Stutsman County,Nine Lake,46.9560998,-98.5189825
Eddy County,Ninemile Lake,47.6619414,-98.7367716
McKenzie County,Nohly Lake,47.9197418,-103.9993758
Bottineau County,Norberg Lake,48.9261171,-100.2801355
Divide County,Norman Lake,48.7130868,-102.9243466
Stutsman County,North Brooks Slough,46.8005395,-99.1048325
Steele County,North Golden Lake,47.5958219,-97.6323118
McHenry County,North Lake,48.3641736,-100.7743055
Sheridan County,North Lake,47.3813827,-100.2615104
Divide County,North Lake,48.868084,-103.9646541
Adams County,North Lemmon Lake,46.0111135,-102.163209
Walsh County,North Salt Lake,48.5374875,-97.3403545
